Author,Message
KSF Bot,"Invalid Usage:
!ctop or !ctop [""country""|""countryCode""]"
__ted,!ctop republic of lithuania
tucks.,<:OMEGALUL:752213459256737892>
KSF Bot,Nothing found
tucks.,!ctop Lithuania
tucks.,And now look at u
__ted,Trademarked by lithuanians
__ted,Even current ski2 map on tricksurf has lithuanian flag
__ted,Ski2 was so popular here
__ted,Surf green/egypt/ski2
__ted,But i spent my childhood combat surfing
__ted,Neither was I
tucks.,I came from gmod deathrun lol
tucks.,I was never a tricksurfer :/
__ted,Got serious nostalgia with that
__ted,Also try ski2 tricksurf
__ted,I get off work at 5 local
__ted,5 ur time
__ted,Like
tucks.,What times that
__ted,Stream after work hours thank you
tucks.,New maps R fun
tucks.,Gonna try again tomorrow and if it goes well I’ll stream
tucks.,Was unwashing again yesterday and actually enjoyed surfing
KSF Bot,This interaction has gone stale. Please re-enter the command and try again.
KSF Bot,
__ted,!rp <@260064252985999360>
KSF Bot,"Invalid Usage:
!help [command name]"
tucks.,!help
KSF Bot,"Unknown command, type !help for a list of commands."
tucks.,!button
KSF Bot,
lurchente,!p
KSF Bot,
bueno7888,!p
KSF Bot,This interaction has gone stale. Please re-enter the command and try again.
KSF Bot,
tucks.,!top leet
KSF Bot,
tucks.,!p
KSF Bot,
tucks.,!p
KSF Bot,Added all to this channel's whitelist
tucks.,!whitelist add all
lurchente,!p
KSF Bot,This interaction has gone stale. Please re-enter the command and try again.
KSF Bot,This interaction has gone stale. Please re-enter the command and try again.
KSF Bot,
careful_,!rrtop10
KSF Bot,
careful_,!p
tucks.,ty
KSF Bot,This interaction has gone stale. Please re-enter the command and try again.
pokimanesfeet,<:pokiBased:844762445518995517>
KSF Bot,
pokimanesfeet,!p
careful_,https://tenor.com/view/oh-canada-canada-day-canada-patriot-canadian-flag-gif-24755147
KSF Bot,
.giggles,!p
KSF Bot,
careful_,!rrtop10
KSF Bot,
careful_,!p
careful_,fix it felix
strig1,fixed
KSF Bot,
strig1,!p
strig1,darn bot should even see this channel
strig1,<:Darn:981883357166190642>
careful_,<@260064252985999360> uh pokemon bot scuffs it <:lulw:588070148406247456>
KSF Bot,
Pokétwo,
careful_,!p
KSF Bot,
tucks.,!pmostusedcommands
KSF Bot,Added all to this channel's whitelist
tucks.,!whitelist add all
strig1,!pmostusedcommands
tucks.,Random objects in the way
tucks.,The spins are just a bit blind
iamwso,just the surf looks kinda boring
iamwso,idm it
tucks.,hes not surf mapper tho so understandable
tucks.,the nutwoomy one surfs a bit bad but looks nice
iamwso,not legit shit cringe maps
iamwso,p much all these maps are nice
iamwso,i didnt even notice
tucks.,and theres secret cuts in the map too
tucks.,can skip under end with good units
tucks.,end looks cool too
tucks.,ye
iamwso,what the fuck surf_agony looks so sick
emil6900,ty:))
tucks.,nice run also
tucks.,i think fish also doesnt like it so go upload
tucks.,nah that map 2 annoying
emil6900,<@260064252985999360> <@377492713743843339> any of you gonna do fiellu? or can i ask for upload
blink1,no I didnt
tucks.,bet u didnt know thats the first wr i ever went for
blink1,poor t1 surfer
blink1,bob is t3 but I can see how you'd think that
tucks.,cant forget my roots
tucks.,went from t4 shitters like surf bob to t1 maxvel maps to anubis **
blink1,went from t1 max vel maps to anubis brother u dun goofed
tucks.,true idk why i did that to myself lol
lurchente,maybe couse you touched anubis
lurchente,meen
tucks.,cant play dno why
tucks.,i opened surf 5 mins ago and its just not happening
lurchente,Nice stream D:
tucks.,maybe later tonight
tucks.,decided to saveloc anubis and now ive rage alt f4d sry
pokimanesfeet,Real units brother
tucks.,farenheit andy <:OMEGALUL:752213459256737892>
pokimanesfeet,74 degrees it’s doomed in uk
tucks.,british house bedroom in attic is torture
tucks.,when it gets colder in my room lol
lurchente,At what time?
lurchente,Pog
tucks.,well thats what im gonna loc
lurchente,spectra when
pokimanesfeet,<:Kapp:685670104469733392>
tucks.,see how i feel
tucks.,might try surf tmrw
lurchente,<:kirbykill:929021294035484672>
tucks.,WTF
lurchente,<:die:929021292450045952>
madhunter1000,🤨
cybercow2077,<:doubt:815464655518302278>
donoes,<:poki3:677719169403191301>
tucks.,after next week
donoes,When surf stream tucks
tucks.,soon trackmania
donoes,Soon tm
tucks.,real madrid vs barcelona
donoes,El classico
erksterr,<@260064252985999360> i love you
.giggles,if you dont leave him alone he wont stream
tucks.,free after that
tucks.,last exam thursday
fluuupsi,Tucks stream when
Deleted User,i highly recommend you all implement the listening of this into your daily routines
Deleted User,
tucks.,100t doesn’t count
__ted,what happened to digga d
__ted,https://www.youtube.com/watch?v=qnwxzz4QawM
ano2,<:weird:758346703555788820>
ano2,Then stream Friday
tucks.,<a:pepeMeltdown:717863183213395998>
tucks.,assignments all due thursday!
housegamer,any....streamers?
tucks.,Might learn from speccing his bot
tucks.,I’ll try it
fluuupsi,thought its the same with boreas
fluuupsi,"and its not hiring, its just tucks usually rebeats the records he lost on gofree"
fluuupsi,"if u can, i wont stop u PauseChamp"
fluuupsi,"w8 waht, i was sure u had top on that lol"
afonsowo,ask mbn or something 😔
afonsowo,why r u hiring other people to do records
.giggles,best surfer is me
pokimanesfeet,Go GIGGLE GO <:GiggleAwesome:900498068514951218>
.giggles,ill do it 🙂
tucks.,Map makes no sense
tucks.,I’m not even top on css lol
tucks.,I’m so bad at boreas man
Deleted User,wants you to retake
tucks.,Wat that mean lol
fluuupsi,"<@!260064252985999360> william did boreas on gofree, can u show him why people always tend to quickly say your name out loud when the question is ""who's a top-notch unit surfer?"""
chipzy,Ayo
__ted,<@!141398103407329280> dont shoot
granis,youre welcome
erksterr,thanks for telling us this in the surf channel <@!124446795400085504>
granis,was doing so good every single day but literally never heard this word
granis,im quitting wordle
emil6900,aight tyty champs
chipzy,just gotta make sure it's not a dodgy zone / crouch uncrouch etc
chipzy,"i dont remember that, but yea you can make a saveloc right before bot goes into end zone and it'll show either same time or .01 to .03 difference in some cases either + or -"
caff,Saveloc s1 wrcp as he goes into s1 end
zackattackk6,<a:Sad:779152094565367831>
mako__o,<:monkaW:757645430057205801>
emil6900,"wait, why did i lose nigel role suddently"
emil6900,"yo <@!141398103407329280> you said smth about levi's s1 jumble was lagged by .09 or smth a while back, was that legit and how you know?"
zeote,<@!260064252985999360> not streaming is not 🅿️
tucks.,but ya i shouldve streamed
tucks.,ill lose all those wrs by next week
tucks.,none of the runs were good i just got lucky af with low -'s
fluuupsi,nah mate
tucks.,<a:fCry:888099378059944018>
tucks.,gg you just got me farmed by levi when i wake up
fluuupsi,"why no stream tuckerman, when u wr more maps levi could ever dream off"
allhaib,whole map is random fam
tucks.,cp1 random
tucks.,ye duno
tucks.,o lol
allhaib,that wank one
allhaib,
tucks.,wat ramp that
tucks.,very precise lol
tucks.,600 on 6th ramp
allhaib,gamer
allhaib,how u fucken hit 600 on 6th ramp tf
allhaib,<@260064252985999360> man going bonkers on summit
allhaib,yeah man stay #Woke
donoes,stay woke
donoes,"cus covid is fake, a hoax created by the government to control our minds"
allhaib,i feel nothing at all tho i have no idea why im positive tbh
allhaib,wanted 10 days off 💯
allhaib,nah i had the guy cough on me
allhaib,goated immune system
__ted,*knock on wood*
__ted,never had it myself
__ted,"my parents had it, all my co-workers had it"
strig1,Ackshuly ill have you know i was out today bich
strig1,<a:nerdge:904866721100361730>
.giggles,Dumb ass doo doo head
.giggles,Strig I don’t think you’ve had a breath of fresh air since you were a baby
josha5043,spot on
josha5043,^
strig1,L nerd
strig1,cause your a basement dweller
.giggles,<a:_KirbyHearts:669716077994835988>
.giggles,I’m just built different
.giggles,I lived in a house with two girls who got it and I didn’t have it
allhaib,magine not being sick
allhaib,Radio
allhaib,
tucks.,Just jinxed urself gg
.giggles,No covid gang <:Kirb:771569826337652756>
hdog6481,love testing positive 2 days before christmas
careful_,https://tenor.com/view/family-guy-wavy-inflatable-arm-tube-man-gif-3809966
louieismyname,yee
careful_,The things at dealerships that wave everywhere?
louieismyname,it's like those inflatable guys that go crazy
paxton0505,<:LULW:859731732785790996>
tucks.,Lol
tucks.,The hands
careful_,Louie on christmas
careful_,https://tenor.com/view/bubble-boy-walking-gif-14987644
louieismyname,free 1hr 45mins of content
tucks.,Just watch Edward scissorhands
careful_,Just buy one of those balls you go in
careful_,<:Sad:901183582490480700>
louieismyname,"yeah rest of family together and imma be stuck in a flat alone, kinda sucks but oh well"
tucks.,Gg
careful_,Cant stop for at lease christmas
careful_,Cringe virus
careful_,That sucks tho right before christmas
louieismyname,"not even feeling that ill, just coughing a lil here and there"
careful_,<:Prayge:916387476212437022>
careful_,Get well soldier
careful_,Rip
louieismyname,gg christmas
louieismyname,today lol
tucks.,<@206847522109390848> u tested +??
louieismyname,part of the 100k gang
careful_,Ive been to disney x3
careful_,Yea idk how i havent gotten
tucks.,Can’t wait to get it a 2nd time
careful_,Dodging bullets like im in the matrix
careful_,Have yet to get cockvid
careful_,Yea heard that shit spreading like crazy
tucks.,I guess it’s just OP
tucks.,Apparently so
careful_,Omnicron transformer strand?
careful_,Wtf lmfai
tucks.,We hit 100k yesterday lmfao
tucks.,<@!387618687840026625> did u see U.K. cases
tucks.,<a:check:744014594212626454>
careful_,☑️
paxton0505,wrf
careful_,Vaccune got that twitter checkmark?
tucks.,🎷
tucks.,Paxton saxophone
paxton0505,vaccine verified u still young
careful_,4th gonna be a funeral
tucks.,So it 1shot me again
careful_,<:monkaW:724215273627844658>
tucks.,But yesterday I had 3rd
tucks.,2nd did
careful_,Heard 2nd shot is what puts you down
careful_,"rip, i still have to get it at somepoint"
tucks.,Was expecting it
tucks.,Vaccine killed me last time too
careful_,Old dead skin room had the real vaccine in it
tucks.,Nah
careful_,Swear youre sick every 2 weeks
tucks.,Or Christmas is ruined
tucks.,Hoping this shit is gone by tomorrow
careful_,I got you
tucks.,Chug jug
tucks.,I need a medkit rn
careful_,<:PauseChampC:904606496631947264>
careful_,Yearly sub collection
careful_,Tucks strem waiting room
careful_,^
paxton0505,just stream
paxton0505,we go agane
careful_,<:WICKED:807744680464613386>
careful_,After the basically lifetime of gf he decided to change to maxvel
careful_,<@260064252985999360> rip your gf utopia lol
careful_,"Satellite on ksf finally, another ez rec for you"
tucks.,Can be beaten tho
tucks.,"Not too sure, think it’s p good"
hdog6481,ksf discord looking good
fluuupsi,sub 31 Pog
fluuupsi,"how was andromeda run tuckerman, good or improvable?"
tucks.,I’m home 27th
tucks.,I’ll do deathstar on stream
tucks.,True actually
pokimanesfeet,<:pokiWeird:679514470661488780>
pokimanesfeet,u play better on stream
pokimanesfeet,couldve beat tendies on stream kinda weeeeeirddd dud
iamwso,<a:HYPERPOGGER:430446438015696918>
tucks.,<a:TE_PepeJammer:731548261806243900>
tucks.,<@!202881989567578114> https://youtu.be/pE2328-O6pI
careful_,rip
tucks.,meh not rlly
careful_,<@!260064252985999360> good andro run?
__ted,surf_of_legends
kusche,yeah..
kusche,rest...
kusche,bottom 2 is custom
tucks.,seeing a lot of reds on this stream
tucks.,<@!228271221131837440>
tucks.,omg soon
careful_,<:NotLikeThis:663496282601553921>
careful_,i mooned end
careful_,<@!260064252985999360> who ඞ finished in 00:30.81. Improving their best time by -00:00.17. [Rank: 3/4756  | WR: +00:00.03]
tucks.,<@!387618687840026625> u did good sweetie x
careful_,<a:emiruVIBE:908756129725710356>
careful_,Was getting consistent .05 runs before i played
careful_,i surfed like straight ass anyways
tucks.,only worth for wr i think
tucks.,fak it only saves like 0.03
careful_,Tried in tourney and threw
careful_,🦧
careful_,welp too bad im inconsistent
tucks.,lol
tucks.,meant to
careful_,Or was it a send it moment and it worked out
careful_,<@260064252985999360> did you mean to do that bhop shit on andromeda?
hdog6481,<@260064252985999360> you have to stream
tucks.,did not sry
allhaib,wanna c 💯💯💯
allhaib,<@260064252985999360> did u clip ur andromeda run
emil6900,<:melind7Egg:733211447009738765>
emil6900,prob not
ano2,
ano2,<@260126787835527181> would you ever play 102t
emil6900,"pretty sure i made it to the window but not through it on 66t, would be suprised if its not possible on 100t"
tucks.,<@260126787835527181> hm didn’t try I’ll give it a go next time I’m on
emil6900,can't you skip from 5th to 7th on 100t?
__ted,catJAM
tucks.,awesome !
zeote,i c
granis,wow! very cool!
tucks.,https://youtu.be/RySfSngkXDc
careful_,good
hdog6481,css wont open
careful_,<:OMEGALUL:678465733822382111>
tucks.,told him not to
tucks.,idk why he uploaded it lol
careful_,<:tri3Head:712443893186166804>
careful_,<@!260064252985999360> 1st day added and you already smacked map?
careful_,https://www.youtube.com/watch?v=qY609PcgZd4
toadstool0551,"Never mind I am retarded, I read that as something completely different"
toadstool0551,The endzone is fucking massive
toadstool0551,
toadstool0551,"I got the endzone from plar, dont think its raised, checking now If I can figure out the command to drawzone"
usrnm.,raise endzone <:5Head:585539272074067969>
toadstool0551,"I want sub 16 so badly, but I just dont know if there is that much to give"
tucks.,looks fast tho
tucks.,my iq isnt high enough to know where to improve
toadstool0551,<@!260064252985999360> Rate my tas and tell me if you can see any place I can improve if you can
flam__,battery life insane + like 10min for it to be fully charged from 0%
flam__,good mouse
flam__,pog
__ted,Pog
tucks.,g pro x sl
tucks.,ye
__ted,Logitech?
tucks.,<:tf:871607592818995200>
tucks.,cant wait for dpexx to think that u did the cheated route and insta remove it
tucks.,<:EZ:537269597825531924>
fluuupsi,Kappa
fluuupsi,atleast i have a somewhat decent wr now
fluuupsi,well
tucks.,maybe im just doing that spawn hoop wrong
tucks.,cpr still scuffed tho idk
tucks.,just got back from uni n hopped on lol
fluuupsi,wp^^
fluuupsi,XDD
tucks.,<@!368485393672175626> gj
fluuupsi,i can imagine
fluuupsi,so many people wireless now
tucks.,It’s kinda OP
tucks.,Gamer now *
tucks.,I’m also wireless game@bow
fluuupsi,lookin forward to it^^
fluuupsi,😮
tucks.,Had to refund mine due to DDOS
tucks.,Only reason I haven’t is because don’t have server
tucks.,Also <@368485393672175626> I got whitelisted on a priv so I can probs stream again soon
tucks.,No u
fluuupsi,ull get it D:
fluuupsi,❤️
fluuupsi,:c
tucks.,<@368485393672175626> I’ll have another go sometime but it’s so annoying that the cpr is legit random now
fluuupsi,"i appreciate it still, even if u didnt get it^^"
fluuupsi,but cool that u didnt forget my biggest of urges :c
fluuupsi,wtf
fluuupsi,HAHA
fluuupsi,lmfao
tucks.,Cps are broken so cba
tucks.,Ended up tilting
tucks.,Wanted to surprise u
tucks.,<@368485393672175626> look hourglass top
fluuupsi,xD
fluuupsi,<@!260064252985999360> why did u surf on gofree with my name lol.
Deleted User,not wetwipes who swear by edgy names const
erksterr,uk just like that
allhaib,and spastic name to guessed
allhaib,"saw ""connected from uk"""
allhaib,oh
Deleted User,<https://www.twitch.tv/xanixxcs>
Deleted User,live rn tbf
erksterr,yeah he's sh guy
Deleted User,bonzi prob has some spasticated name like bonbonbonbnbananan
Deleted User,not bonzi
Deleted User,yh it's xanixx
erksterr,isn't that xanixx?
Deleted User,so that you can override any dogwanks on there
Deleted User,i'll just give you /map perms on spunk server
allhaib,<@!260064252985999360>
allhaib,
allhaib,ill ask
tucks.,up to him
tucks.,unless u want me to do it on there
allhaib,bet
tucks.,let me quickly improve this
allhaib,dont think he cares what map
allhaib,<@!260064252985999360> yep its bonzi
allhaib,i thinkits bonzi
allhaib,im joining it rn
tucks.,o idk who tht is then
allhaib,nope
tucks.,o wait ar eu max verstappen
allhaib,im in that
allhaib,coteys
tucks.,nvm someones on it
tucks.,but i can join tht 1
tucks.,dno whos that is
tucks.,i have spunk
allhaib,stream !?
allhaib,never asked him for pass
allhaib,oof
tucks.,paul
tucks.,pal
allhaib,also what server u on
allhaib,rebeat so i can watch replay!!
tucks.,i aldry have it
allhaib,lovetunnel !!!
tucks.,bored
tucks.,what map next
allhaib,lol
tucks.,<:OMEGALUL:752213459256737892>
tucks.,damn that took long
tucks.,
tucks.,<@!428544494741356546>
josha5043,but mine good so he uses mine when i’m not there
josha5043,cos his pc is shite
josha5043,ye for my brother
allhaib,he crankin 90s doe
Deleted User,<a:AwwYea:483673736483045407>
Deleted User,focused on the fact that you have fortnite installed on your pc tbh
josha5043,retard
allhaib,90s
josha5043,look at the phone icon
allhaib,josh fn
Deleted User,surely not
Deleted User,nah
Deleted User,
Deleted User,solid
josha5043,i got paid today
josha5043,cheers pal
Deleted User,nice one josh that was hilarious mate
Deleted User,
josha5043,
allhaib,cuz old rec replays have some stutters
allhaib,cuz dpexx made some dumbass rule where u can only upload new recs
allhaib,yep
Deleted User,not even solid times
Deleted User,is nex just uploading every single thing anyone minuses on now?
allhaib,either zookey slippin or idek
tucks.,yh bit of a sticky c pr
allhaib,lol big man was +70 should be free
tucks.,looked fun
tucks.,whoknows
tucks.,might do tht run which was uploaded tho
tucks.,just uploading for the sake of uplading
allhaib,ik
allhaib,fair enough
tucks.,wasnt even a good run
allhaib,might hit the next cp faster ur way
tucks.,na cba running that map again
allhaib,idk try doing it that way see if it -'s more for u
tucks.,its good now they fixed it
allhaib,gofree loc system is dog
tucks.,i land further forwards on it
tucks.,swear i did it in loc and my way was faster idk why
allhaib,that ramp
allhaib,
allhaib,you kinda ride the end of it try riding from the start i got like 30 more units
allhaib,you do the mid ramp diff
tucks.,wht u mean
allhaib,ez .10 or 20 off
allhaib,<@!260064252985999360> do mid like this in run
allhaib,https://www.youtube.com/watch?v=wi5OjF6nong
tucks.,https://tenor.com/view/big-man-posing-kick-gif-15245272
tucks.,
lucitlm,<:CreepyChamp:895627061211856926>
lucitlm,i just wont farm u on stream
tucks.,fiver
tucks.,fier
lucitlm,send them to me
tucks.,still on defaults
tucks.,not used them yet
tucks.,yh i got new skates next to me
lucitlm,im surfing literally on a bit of plastic
tucks.,g pro x wl sl
lucitlm,i need mouse feet man
lucitlm,what u get
tucks.,op
tucks.,its the new mouse
lucitlm,hate how smooth u are lol
tucks.,uploading because bored asf
tucks.,maps just not fun
tucks.,probs is
lucitlm,swear still like .1
lucitlm,beat again
tucks.,https://youtu.be/XCoC5_i_U9s
zeote,tubular
tucks.,https://www.youtube.com/watch?v=8qA0MISAyhU
lucitlm,
__ted,simpler times
__ted,https://www.youtube.com/watch?v=4mZIk4_7CPA
granis,100 geks 🥓
lucitlm,song is hard wtf
tucks.,<a:PepeJAM:737826191372845167>
tucks.,when did i do that map lol
tucks.,o wtf
mako__o,<@260064252985999360> https://youtu.be/yEnpGpmWSdA damn fire run to fire music 🔥
zeote,<@!260064252985999360> shoutout addison rae
tucks.,https://www.youtube.com/watch?v=1zuOOdRLKkU
tucks.,uberschmit
granis,fkn noob
granis,actually going so slow he gets an integer underflow
fluuupsi,"tucks actually cheating units,.... wasnt expecting that from him man"
__ted,lacking some more paint
josha5043,banger
tucks.,<@!429397528178327553> song carried me
josha5043,<@!260064252985999360> drop a man like kate winslet
tucks.,https://www.youtube.com/watch?v=CbwQplPfSYQ
.sondre,<:PauseChamp:735926576197402694>
tucks.,new headphones <:PauseChamp:746154456256741376>
tucks.,stream either gonna have to be later or tomorrow
tucks.,ye i had food delivery coming today and now i got another delivery im waiting on
.sondre,its ok ill wait for underworld 🙂
.giggles,<a:cowiggle:837138768854646794>
tucks.,might top it
.giggles,Play Greensway 🙂
tucks.,no shot im playin dat map
.sondre,
.sondre,cant wait for tucks deity stream
donoes,<:pepelaugh:764237918192533554>
donoes,gotta learn to put water in plant
tucks.,to eat for the week
tucks.,kinda forgot to get myself food
tucks.,might have to be later than usual
tucks.,nah i gotta learn how to keep her plants alive
josha5043,can’t believe this guys 21
tucks.,gotta learn how 2 keep the house from burning down
tucks.,i will but family go away today
josha5043,cap
tucks.,gotta do some stuff this mornin ill go live in a couple hours
fluuupsi,Friendly Reminder for tuckerino stream
dosta8971,<a:txcksTyping:867426448796549120>
turtlee42,https://media.discordapp.net/attachments/331542802292932628/865408193516273664/3x_11.gif
careful_,https://media.discordapp.net/attachments/331542802292932628/865408193516273664/3x_11.gif
careful_,<a:txcksTyping:867426448796549120>
tucks.,These are from ages ago!!
careful_,<:Weirdge:808088165985550337>
careful_,off stream farmer
turtlee42,bonus andy
lucitlm,"11 damn, okay"
lucitlm,1 minute long video?
tucks.,Taiikii the legend
tucks.,https://youtu.be/-PbEA0im5qg
1337bop,woohoo
lucitlm,2head
usrnm.,ez
tucks.,Sorry for no stream I have no pc
tucks.,Also brb till next weekend I gotta quarantine
tucks.,Boom
tucks.,https://youtu.be/3OnHgMo0AqU
mako__o,<a:catJAM:760551794975178822>
mako__o,https://twitter.com/dgn_csgo/status/1414967346939277313?s=21
tucks.,on gofree
tucks.,i got him to trigger rock
lucitlm,record it
tucks.,or smthn
tucks.,unless u filck early from next ramp
tucks.,unsure how to do it good on 66
mako__o,I tried this on 66t a bit but not much
mako__o,Damn
tucks.,i did it in loc after
tucks.,its legit -0.4
tucks.,did u see mine
mako__o,<:monkaHmm:744637741748453387>
mako__o,From 2nd last
tucks.,imagine
tucks.,with my route
tucks.,wait combo ur route
mako__o,U can bounce off all these 3 things
tucks.,can u get there
mako__o,
tucks.,turns out it was faster lol
tucks.,failed my run so did random route
tucks.,did u ever see this route i found
tucks.,
tucks.,<@!221997981371596801> where
mako__o,U dont use last ramp u just fly straight and bounce on the bottom of those pillars
mako__o,Wonder if the strat i found is faster
tucks.,true
lucitlm,Nah I’m quicker
tucks.,Ye think so
careful_,<@!260064252985999360>
careful_,is that end on summit actually faster?
careful_,<:EZ:660823731538624512>
tucks.,nice !
tucks.,https://youtu.be/b8hXbBmIskQ
careful_,<:Weirdge:753173668594450472>
careful_,not sub 29
tucks.,pog !
tucks.,https://www.youtube.com/watch?v=33THfSUxtHU
tucks.,It’s already ggd <@!224875812602642432>
__ted,<@!260064252985999360> nova kinda ur style map no?
fluuupsi,hahgaha
tucks.,gotta stay up to fix it now
tucks.,2 late
fluuupsi,jsut sleep 4head
tucks.,oopsie
fluuupsi,lmfao
tucks.,its 10am still not slept
tucks.,and fix my sleep pattern before that lol
fluuupsi,air
tucks.,yeeeee i gotta get back into css first
fluuupsi,<@!260064252985999360> *little reminder of hourglass on gofree* :p
cybercow2077,works on pc lol
lucitlm,I have no clue
tucks.,How do I play this on mobile lol
lucitlm,
lucitlm,How the fuck do I download audio from WhatsApp
lucitlm,"I think I got a new sub sound, but if you don’t know who it is then imma be pissed"
josha5043,sounds like juan
tucks.,
tucks.,<@429397528178327553>
tucks.,Or pischa
josha5043,saying EEEEEEEUUU
josha5043,or hasbullah
tucks.,XD
josha5043,BÖRGÏR BÖRGÏR BÖRGÏR BÖRGÏR BÖRGÏR BÖRGÏR BÖRGÏR BÖRGÏR BÖRGÏR BÖRGÏR
josha5043,and all you hear is
josha5043,imagine someone gifts 10
josha5043,is classier
josha5043,but BÖRGÏR
tucks.,Need a change
josha5043,i mean dogjam is class
tucks.,<a:NM_BurgerDoge2:726013727064719422>
tucks.,BÖRGIR
josha5043,BURGIR
tucks.,New sub sound?
josha5043,the bonus?
josha5043,on what
tucks.,<@429397528178327553> need an opinion
josha5043,i remember <:FeelsDankMan:697132336298590239>
granis,So proud of you tuckerman
dosta8971,<:sadge:751346381016268840>
royalerino,<:FeelsStrongMan:831340939271340102>
royalerino,old tucks
dosta8971,good ol corona times <:feelsStrongMan:695171992835326042>
dosta8971,i remember that too lol
tucks.,So nostalgic
tucks.,Do u remember making the bonus with me
tucks.,🥲
tucks.,<@124446795400085504>
granis,That works
granis,<:PokiChamp:751944731361017907>
granis,Wtf
granis,That's not a pog
granis,Tok mapper <:PogO:801417697920548884>
careful_,<:FeelsStrongMan:808088544240861194>
careful_,the tucks bonus made it to a map finally
careful_,https://www.youtube.com/watch?v=OCzk7WLmpTw
__ted,sim[p
josha5043,to wayne
josha5043,5 euros
__ted,for wl
__ted,did u pay
josha5043,<@!224875812602642432>
__ted,<@!429397528178327553>
fluuupsi,I will keep a look on the records channel
tucks.,I will when I’m back home
tucks.,<@368485393672175626> no time <:sad:709660249061064807>
fluuupsi,Still waiting for hourglass rebeat <:PepeHands:547215106904162327>
careful_,🥑
tucks.,<@!387618687840026625> 🍖
careful_,<:KEKW:623920884763328512>
careful_,<@!260064252985999360> you can bhop the surface below first ramp and get 2150 to next ramp
fluuupsi,no cheese
fluuupsi,he's doin it normally
fluuupsi,"well, you'll get him"
tucks.,Ye lol
fluuupsi,lol
fluuupsi,guess everything is somehow cheeseable
fluuupsi,dang i thought this start was uncheeseable
fluuupsi,WTF
tucks.,+20 units
tucks.,Dno stormy does some weird backflip
tucks.,I just haven’t figured out how
fluuupsi,how lol
tucks.,I think people are gonna cheese the start zone tho
fluuupsi,poor innocent soul 😦
fluuupsi,just dont crush him entirely
fluuupsi,well
tucks.,Loads *
tucks.,Probs lods of time left
fluuupsi,LFMAo
tucks.,Ye I only spent like 5 mins on it
fluuupsi,be prepared!
fluuupsi,sounds alot
fluuupsi,he said he can -15
fluuupsi,^^
tucks.,<@368485393672175626> damn guess I wake up early again tomorrow lol
careful_,<:EZ:660823731538624512>
fluuupsi,Uke rebeat already pog. @Tucks
.giggles,<:WeirdChamp:805781127796752395>
.giggles,I woke up to keys clicking
fluuupsi,ye noticed lol
tucks.,had to wake up before giggles woke up so i could rebeat it lol
tucks.,😎
tucks.,<@!387618687840026625> <@!368485393672175626>
careful_,<@!260064252985999360> he doesnt know how you did your end
fluuupsi,its goign to be a big minus
fluuupsi,well im pretty sure once u get your hands on hourglass again
tucks.,Guess I just copy his cp1 cuts and -0.2 it
tucks.,Wait he raped my cp1
fluuupsi,ait Pog
tucks.,Can after I’m back
tucks.,<@368485393672175626> busy for a few weeks :/
fluuupsi,"<@!260064252985999360> uke did your hourglass in gofree, ya rebeatin?"
tucks.,wr wasnt even good i just kept 00ing lol
tucks.,then +00 deathstar on gf like 7 times for no reason
tucks.,well i +00 take1 on css
.exper,"im mad at pox, horrible map"
careful_,what map?
.exper,painful
.exper,thats quite unfortunate lol
tucks.,8th time ive +00d something today lol
.exper,😳
tucks.,
kyd0g,i tied ur s1 but that’s about all i did on that map
tucks.,pierdole power polish player
kyd0g,i have no idea who the guy that took it from u was
kyd0g,lmfao
tucks.,wtf i owned that s2 wrcp in run lol
tucks.,<@!396000043896930317>
careful_,"if you ever wanted to get into custom keyboards, glorious new gmmk pro is perfect"
careful_,think most people buy gk61 for the entry level
careful_,they have gateron switches
careful_,ive heard gk61 are good keyboards for the price
granis,also this one but ive never even heard of ec sakura switches
careful_,not hard to interchange switches
careful_,you can just switch anyways
careful_,lmfao
careful_,thats why
careful_,ok
granis,blue switches tho 🙃
careful_,thats not bad wtf
granis,down from 180
granis,so this is like 60
granis,10 kr = 1 pund
careful_,varmilo pretty expensive i think
granis,"thought about buying this one, only reason im not instabuying is because i cant live without full size keyboard"
careful_,so anything unplayable still
careful_,<:LULW:660038704462561280>
careful_,after 1 week
careful_,my cord still hasnt delivered
careful_,"reds perfect for me, not retarded fast like silvers"
careful_,ive only had blues and reds
tucks.,good for sync  i guess
careful_,might as well start playing osu
tucks.,yea
careful_,<:monkaW:595723150457831434>
careful_,you like fast af clicks huh?
tucks.,i got silver switches too
careful_,numpad?
careful_,ew
careful_,reds usually go out of stock sometimes
tucks.,because i use numpad
tucks.,i got full size
careful_,and the only reason the 60 would be is because of the switches
careful_,65 is the one thats always on back order
louieismyname,i c
careful_,nah 60% takes like 1week tops
louieismyname,or was that just specific ones
careful_,65 or 60
louieismyname,i thought most duckys were delivering like super late rn
careful_,which one
careful_,oooh
tucks.,but i ordered a ducky so should be gooood
tucks.,my A key has cum in it so it barely works
tucks.,its why ive not been live
tucks.,waiting on new keyboard
tucks.,<@!387618687840026625>
careful_,<@!260064252985999360> should stream csgo on txcks2
tucks.,https://youtu.be/EUYF4oPkPtQ
anjer,right
tucks.,ITS A BUTTERFLY
anjer,Oh you were that flower name b on ksf
emil6900,wtf is this
careful_,<a:pokiBurrito:825207968022134824>
zackattackk6,<:pokidababy:838264026525466634>
careful_,<a:pokiFood:790705716964753418>
